idade,Homem,Mulher,brasil,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
0-4,7571223,7227109,14798332,139897,83568,406547,57800,720553,80698,125433,589381,238506,658031,239675,287281,691348,253816,170136,1029247,1332326,287749,1129956,3060153,791584,484745,713500,219770,284071,516278,206283
5-9,7435509,7106623,14542132,134420,84300,402987,54614,735268,80265,125475,593482,238009,643033,245076,271466,706341,264190,171157,1042741,1311803,279013,1081738,3009786,759297,454448,682328,212344,263809,508150,186592
10-14,7666040,7343636,15009676,139438,91501,396768,52601,799314,80356,133973,674316,265172,687783,262143,309930,742361,287165,181180,1135423,1369560,274895,1064445,2978818,760117,448435,690675,204089,270750,495311,213157
15-19,8185062,7894402,16079464,152394,92314,391850,53712,814737,85068,138398,669646,291641,743073,275916,332740,789930,312722,191299,1228991,1537620,295617,1171860,3174445,827957,479379,784538,209281,268611,526074,239651
20-24,8744065,8575788,17319853,157176,85661,402062,59600,816264,83112,144130,673106,290786,835224,298175,338089,819051,314307,209938,1272713,1710955,314823,1339549,3458597,921453,565292,867605,226483,287782,576775,251145
25-29,8485534,8519370,17004904,156490,74790,363618,59768,759451,78066,136343,601734,264919,803135,298449,327971,774829,274544,198772,1204870,1707914,318559,1305781,3546685,919205,596886,863567,228578,293845,592333,253802
30-34,8549320,8708998,17258318,154448,69296,338955,55632,726789,72646,130427,588105,265970,779221,307453,325065,780180,260015,197182,1215977,1717323,339203,1337321,3844758,887877,612024,859032,223385,295241,605247,269546
35-39,8260741,8611601,16872342,147220,65654,316498,50842,679935,65598,124529,542850,252388,707765,282425,314086,747911,252315,185212,1241930,1682416,329697,1365965,3823504,868172,589215,868631,218534,285720,584735,278595
40-44,7400750,7854763,15255513,130275,56070,272163,41007,583769,55185,111552,456840,229124,627560,246461,286336,686170,228962,164613,1099767,1553539,297095,1288175,3475713,820311,519611,777333,198087,260013,538463,251319
45-49,6472175,6961901,13434076,113045,45005,219634,32196,482866,45478,91952,370253,193239,551502,219799,251000,605874,196938,143531,927407,1381507,255705,1153110,3092380,770805,479625,727062,177884,227356,470858,208065
50-54,5965268,6500061,12465329,100080,37021,179242,25920,400816,35450,80356,323964,177639,511947,208774,231583,542335,177074,128656,843958,1330563,241175,1101674,2872236,739561,466288,743078,163138,202413,419935,180453
55-59,5186871,5825240,11012111,82429,28493,142800,20829,319387,27085,65362,269209,153786,436154,176889,196023,458013,144117,104092,710570,1217391,218188,1032271,2588005,655139,425622,730321,144359,169764,350082,145731
60-64,4214303,4877607,9091910,62332,22550,109009,15470,256823,20639,51972,218641,125369,331495,130034,153421,367366,116084,80588,584237,1026901,183955,894818,2201933,537083,339864,628375,114165,131269,276430,111087
65-69,3217426,3864254,7081680,43766,16867,78301,10886,191274,13961,40532,174664,100658,270254,101207,127446,290235,92288,62653,451038,797571,139690,703252,1710711,422886,262538,505396,86890,94714,208494,83508
70-74,2297297,2877091,5174388,28431,11905,52312,7040,132473,8831,29350,127882,75417,214007,85256,103523,224585,67415,45866,346014,580328,93997,512146,1233506,307078,183418,373055,61241,64465,147405,57442
75-79,1484658,1995878,3480536,17871,8116,34633,4025,89594,6336,20094,90656,51466,147663,56651,72475,152096,45307,30162,241769,400847,64256,338980,814670,206907,117807,249929,42117,41533,97971,36605
80-84,919059,1364756,2283815,10251,4726,20440,2259,52057,3670,13138,58663,33422,102023,38871,50013,100111,27495,18894,156708,268918,43534,229521,542741,131324,75249,163915,26870,24844,60858,23300
85-89,452078,756364,1208442,4700,2499,10464,1032,26189,1926,6531,30592,16122,50312,19262,23925,48604,13683,9623,82875,145958,24539,127830,297067,68958,39184,90792,13812,11719,29501,10743
90+,252916,521388,774304,2562,1599,6314,528,15306,1361,3319,21197,8814,32676,14337,15754,30177,8474,5348,56623,95351,16960,86551,193341,38243,25158,58107,7959,6547,16004,5694
